x,HQ36
-2e-05,9e-06
0.000828,0.003117
0.000947,-0.002211
0.002146,0.006507
0.002294,-0.004157
0.003559,0.009331
0.004314,-0.006104
0.005161,0.01159
0.006484,-0.007453
0.006856,0.014414
0.008741,0.017049
0.009027,-0.008728
0.010908,0.019402
0.012394,-0.010302
0.01298,0.021566
0.015242,0.024012
0.016099,-0.011318
0.017691,0.026647
0.021,-0.012643
0.02212,0.030221
0.025794,0.033796
0.028352,-0.014537
0.029752,0.036711
0.034369,0.040474
0.03974,0.044046
0.042112,-0.016251
0.046618,0.047806
0.053026,0.052037
0.056626,-0.017966
0.062166,0.056735
0.070951,-0.019116
0.073662,0.063032
0.082426,0.066412
0.092886,0.070731
0.093947,-0.021219
0.10721,0.076459
0.113361,-0.022187
0.120591,0.081152
0.137082,0.086312
0.142389,-0.023544
0.152914,0.091284
0.168934,0.095125
0.168966,-0.023956
0.184484,0.098496
0.19215,-0.024741
0.208326,0.10374
0.223439,-0.025724
0.22576,0.107014
0.244797,0.109815
0.255293,-0.026332
0.256859,0.111307
0.273823,0.113451
0.277535,-0.026173
0.293802,0.115026
0.297515,-0.0262
0.314441,0.116317
0.331819,-0.025492
0.336871,0.117324
0.358264,0.117296
0.36782,-0.025351
0.377019,0.116894
0.391721,0.116309
0.410229,-0.024277
0.41302,0.114773
0.434979,0.113237
0.446042,-0.023005
0.450813,0.111426
0.470887,0.108573
0.481477,-0.022487
0.493036,0.105058
0.511037,0.10249
0.511635,-0.021585
0.530829,0.098884
0.545374,-0.020499
0.54949,0.095844
0.569659,0.091578
0.581563,-0.018475
0.589734,0.088348
0.609432,0.08446
0.615113,-0.017389
0.635539,0.079243
0.643386,-0.015731
0.663908,0.073742
0.669774,-0.014447
0.69124,0.068618
0.694277,-0.012783
0.716121,0.063121
0.721607,-0.010182
0.739872,0.058567
0.74856,-0.00758
0.754009,0.055534
0.770785,0.053062
0.770989,-0.005348
0.787576,-0.003109
0.790766,0.048702
0.806047,-0.000308
0.814894,0.04509
0.828287,0.002112
0.834874,0.041483
0.84412,0.004352
0.850708,0.039578
0.866926,0.008844
0.869368,0.037292
0.884454,0.011647
0.89048,0.03538
0.901606,0.015016
0.907632,0.034038
0.920642,0.018382
0.923843,0.032321
0.940432,0.022878
0.945896,0.031161
0.950044,0.024372
0.958149,0.025304
0.962106,0.029444
0.968893,0.025666
0.978317,0.027915
0.983783,0.025835
0.991511,0.027144
0.999805,0.026567
